TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-28 15:13:02,1774710782913,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,r7k6s-1774710782193-6a41bb731cca,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,,,,,"Error: ENOENT: no such file or directory, mkdir '/var/task/tmp/uploads'
    at Object.mkdirSync (node:fs:1363:26)
    at <anonymous> (/vercel/path0/server/src/routes/upload.ts:22:6)
    at ModuleJob.run (node:internal/modules/esm/module_job:413:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:660:26)
    at async d (/opt/rust/nodejs.js:17:25176) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/tmp/uploads'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 15:13:02,1774710782193,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,r7k6s-1774710782193-6a41bb731cca,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,640,iad1,-1,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTG2Y9CGT7ARPV0V4Y3SHYZ,,-1
2026-03-28 15:04:10,1774710250935,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,cq9wj-1774710250172-895c21c44c8a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,,,,,"Error: ENOENT: no such file or directory, mkdir '/var/task/tmp/uploads'
    at Object.mkdirSync (node:fs:1363:26)
    at <anonymous> (/vercel/path0/server/src/routes/upload.ts:22:6)
    at ModuleJob.run (node:internal/modules/esm/module_job:413:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:660:26)
    at async d (/opt/rust/nodejs.js:17:25176) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/tmp/uploads'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 15:04:10,1774710250172,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,cq9wj-1774710250172-895c21c44c8a,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,690,iad1,-1,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTFJPQQZTHV5RSKAFR2FXC3,,-1
2026-03-28 15:03:59,1774710239640,voodoo808com-alpha.vercel.app/api/beats/highlighted,GET,,500,tv66t-1774710238745-6ed6f9f779f0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,,,,,"Error: ENOENT: no such file or directory, mkdir '/var/task/tmp/uploads'
    at Object.mkdirSync (node:fs:1363:26)
    at <anonymous> (/vercel/path0/server/src/routes/upload.ts:22:6)
    at ModuleJob.run (node:internal/modules/esm/module_job:413:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:660:26)
    at async d (/opt/rust/nodejs.js:17:25176) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/tmp/uploads'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 15:03:58,1774710238745,voodoo808com-alpha.vercel.app/api/beats/highlighted,GET,,500,tv66t-1774710238745-6ed6f9f779f0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,688,iad1,-1,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTFJBPQFYQVD6MPHH4W5Z04,,-1
2026-03-28 15:03:59,1774710239527,voodoo808com-alpha.vercel.app/api/beats,GET,,500,k2rx7-1774710238745-b699b6a0b813,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,,,,,"Error: ENOENT: no such file or directory, mkdir '/var/task/tmp/uploads'
    at Object.mkdirSync (node:fs:1363:26)
    at <anonymous> (/vercel/path0/server/src/routes/upload.ts:22:6)
    at ModuleJob.run (node:internal/modules/esm/module_job:413:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:660:26)
    at async d (/opt/rust/nodejs.js:17:25176) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/tmp/uploads'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 15:03:58,1774710238745,voodoo808com-alpha.vercel.app/api/beats,GET,,500,k2rx7-1774710238745-b699b6a0b813,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,575,iad1,-1,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTFJBPSASYYZG01Z8Q8H8SP,,-1
2026-03-28 15:03:58,1774710238553,voodoo808com-alpha.vercel.app/api/auth/me,GET,,500,q997f-1774710237694-7bc5f7d06b45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,,,,,"Error: ENOENT: no such file or directory, mkdir '/var/task/tmp/uploads'
    at Object.mkdirSync (node:fs:1363:26)
    at <anonymous> (/vercel/path0/server/src/routes/upload.ts:22:6)
    at ModuleJob.run (node:internal/modules/esm/module_job:413:25)
    at process.processTicksAndRejections (node:internal/process/task_queues:103:5)
    at async onImport.tracePromise.__proto__ (node:internal/modules/esm/loader:660:26)
    at async d (/opt/rust/nodejs.js:17:25176) {
  errno: -2,
  code: 'ENOENT',
  syscall: 'mkdir',
  path: '/var/task/tmp/uploads'
}
Node.js process exited with exit status: 1. The logs above can help with debugging the issue.",prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 15:03:57,1774710237694,voodoo808com-alpha.vercel.app/api/auth/me,GET,,500,q997f-1774710237694-7bc5f7d06b45,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_CLN8uPpnPLdfv1Xh3c6TsQTy5tYt,633,iad1,-1,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTFJAPJM5MEWQHWR5N0R9QJ,,-1
