TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-03-28 16:24:35,1774715075891,voodoo808com-alpha.vercel.app/api/beats/highlighted,GET,,500,jcz4p-1774715075811-2d7d9a777239,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,,,,,Express error on GET /api/beats/highlighted : MaxClientsInSessionMode: max clients reached - in Session mode max clients are limited to pool_size,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 16:24:35,1774715075811,voodoo808com-alpha.vercel.app/api/beats/highlighted,GET,,500,jcz4p-1774715075811-2d7d9a777239,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,5,iad1,270,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTM5Z90FYNFWYJQQASND84M,AJn4m4QHZw2J,1
2026-03-28 16:24:35,1774715075872,voodoo808com-alpha.vercel.app/api/beats,GET,,500,2htgh-1774715075794-7a7a5b3ae7e1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,,,,,Express error on GET /api/beats : MaxClientsInSessionMode: max clients reached - in Session mode max clients are limited to pool_size,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 16:24:35,1774715075794,voodoo808com-alpha.vercel.app/api/beats,GET,,500,2htgh-1774715075794-7a7a5b3ae7e1,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,7,iad1,269,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTM5Z8E87RXW9XKCKKANM1R,AJn4m4QHZw2J,1
2026-03-28 16:23:17,1774714997911,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,9hrns-1774714997826-8dc9491335b3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,,,,,Express error on POST /api/auth/login : MaxClientsInSessionMode: max clients reached - in Session mode max clients are limited to pool_size,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 16:23:17,1774714997826,voodoo808com-alpha.vercel.app/api/auth/login,POST,,500,9hrns-1774714997826-8dc9491335b3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,20,iad1,268,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTM3K3W1CKFTD3E9TVFPVAK,AJn4m4QHZw2J,1
2026-03-28 16:23:15,1774714995939,voodoo808com-alpha.vercel.app/api/settings,GET,,500,9hrns-1774714995865-b3a3c8d065b6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,,,,,Express error on GET /api/settings : MaxClientsInSessionMode: max clients reached - in Session mode max clients are limited to pool_size,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 16:23:15,1774714995865,voodoo808com-alpha.vercel.app/api/settings,GET,,500,9hrns-1774714995865-b3a3c8d065b6,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,7,iad1,268,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTM3H6CQXGJ5FQ90TPYKQW7,AJn4m4QHZw2J,1
2026-03-28 16:23:15,1774714995929,voodoo808com-alpha.vercel.app/api/auth/me,GET,,500,jpt67-1774714995859-f4aa11572a22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",error,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,,,,,Express error on GET /api/auth/me : MaxClientsInSessionMode: max clients reached - in Session mode max clients are limited to pool_size,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,,,
2026-03-28 16:23:15,1774714995859,voodoo808com-alpha.vercel.app/api/auth/me,GET,,500,jpt67-1774714995859-f4aa11572a22,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36",,production,main,MISS,function,/server/src/index.ts,voodoo808com-alpha.vercel.app,voodoo808com-alpha.vercel.app,dpl_9a8iHW1Ej38qqnyrMChminZTNBZZ,6,iad1,278,2048,,prj_fcPfw5095IALtMk53uzJ5pnG3VKu,,,01KMTM3H69HB47809AGZ0BFP6D,hlT2AA1S3HKT,1
